 *********************************************************************************
   Plane-parallel Cool-MARCS (=MSG) model for Teff =  400. K, log(g) = 3.0
 *********************************************************************************

The model is computed in 53 layers from log_10(tau_ross)= -5.00 to  2.50
 This model of the general type Star/K2_18
meaning that at a scale where epsilon(H) = log(H)=12, epsilon(elm) included:
 12.00 10.93 8.49 7.78 8.74 6.24 7.57 6.47 7.51 5.12 6.38 4.99 4.00 7.42 2.58
  H     He    C    N    O    Na   Mg   Al   Si   K    Ca   Ti   V    Fe   Zr  
The model used  74 molecules/atoms in the opacity computation. They were:
 SO2  TiH  CO2  OH   CrH  CH   AlCl ZrO  PO   NaCl SiS  NO   LiF  HCN  C3   C2H2 MgH  TiO 
 CaH  SiO  LiCl PH3  H2   C2   KCl  HCl  CP   LiH  NaH  AlF  FeH  BeH  MgF  CaF  CH4  CO  
 CN   H2CO NH3  AlO  VO   SiH  PN   CS   KF   H2O  PS   SN   AlH  NaF  HS   NH   Al   Be  
 Ca   Cl   C    Cr   Fe   F    K    Li   Mg   Na   N    O    P    Si   S    Ti   V    Zr  
 O2   O3  
The OS cross sections (cm2/molecule) were read into  7949 wavenumbers between
 400.0 and 80000.0 cm-1 (= 0.125 to  25. mu). We used only each 10th in the radiative transfer
 of this model, resulting in a (statistical spectral) OS-resolution of 1500.0
 TOTAL FLUX= 1.4368E+06 ERGS/CM**2/S  TEFF=  399. K
 TOTAL FLUX= 1.4367E+06 ERGS/CM**2/S  TEFF=  399. K

Convection was computed based on the parameter choice:
palfa, pbeta, pny, py = 1.5 0.0 8.0 0.076
(but convection was apriori considered irelevant for the uppermost 16 layers)

The convergence criterium was delta(T)= 1.0 K and temp. corr. in the last iteration was 0.00 K


 Technical settings:
dpein,dtin,method-pe,inz.K=12,kort,kpi,mihal,lops,nops: 0.005 0.005 2 4.339eV 5  0 40 0  1
 (listed Pe is from GGchem; Pe for converg. in colm Pturb)

 *********************************************************************************




 C O R R E C T I O N S  I N  T H E  L A S T  I T E R A T I O N
 K LOG(TauR)  TAUROSS      T       DELTA(T)     FCONV    DELTA(FCONV)  K
  1  -5.00   1.00E-05     173.12       0.00   0.000E+00    0.00E+00    1
  2  -4.85   1.41E-05     174.80       0.00   0.000E+00    0.00E+00    2
  3  -4.70   2.00E-05     176.70       0.00   0.000E+00    0.00E+00    3
  4  -4.55   2.82E-05     178.76       0.00   0.000E+00    0.00E+00    4
  5  -4.40   3.98E-05     180.97       0.00   0.000E+00    0.00E+00    5
  6  -4.25   5.62E-05     183.35       0.00   0.000E+00    0.00E+00    6
  7  -4.10   7.94E-05     185.95       0.00   0.000E+00    0.00E+00    7
  8  -3.95   1.12E-04     188.80       0.00   0.000E+00    0.00E+00    8
  9  -3.80   1.58E-04     191.93       0.00   0.000E+00    0.00E+00    9
 10  -3.65   2.24E-04     195.34       0.00   0.000E+00    0.00E+00   10
 11  -3.50   3.16E-04     199.03       0.00   0.000E+00    0.00E+00   11
 12  -3.35   4.47E-04     202.98       0.00   0.000E+00    0.00E+00   12
 13  -3.20   6.31E-04     207.17       0.00   0.000E+00    0.00E+00   13
 14  -3.05   8.91E-04     211.63       0.00   0.000E+00    0.00E+00   14
 15  -2.90   1.26E-03     216.40       0.00   0.000E+00    0.00E+00   15
 16  -2.75   1.78E-03     221.54       0.00   0.000E+00    0.00E+00   16
 17  -2.60   2.51E-03     227.09       0.00   0.000E+00    0.00E+00   17
 18  -2.45   3.55E-03     233.01       0.00   0.000E+00    0.00E+00   18
 19  -2.30   5.01E-03     239.24       0.00   0.000E+00    0.00E+00   19
 20  -2.15   7.08E-03     245.78       0.00   0.000E+00    0.00E+00   20
 21  -2.00   1.00E-02     252.62       0.00   0.000E+00    0.00E+00   21
 22  -1.85   1.41E-02     259.85       0.00   0.000E+00    0.00E+00   22
 23  -1.70   2.00E-02     267.55       0.00   0.000E+00    0.00E+00   23
 24  -1.55   2.82E-02     275.85       0.00   0.000E+00    0.00E+00   24
 25  -1.40   3.98E-02     284.88       0.00   0.000E+00    0.00E+00   25
 26  -1.25   5.62E-02     294.77       0.00   0.000E+00    0.00E+00   26
 27  -1.10   7.94E-02     305.68       0.00   0.000E+00    0.00E+00   27
 28  -0.95   1.12E-01     317.75       0.00   0.000E+00    0.00E+00   28
 29  -0.80   1.58E-01     331.16       0.00   0.000E+00    0.00E+00   29
 30  -0.65   2.24E-01     346.16       0.00   0.000E+00    0.00E+00   30
 31  -0.50   3.16E-01     363.03       0.00   0.000E+00    0.00E+00   31
 32  -0.35   4.47E-01     382.13       0.00   0.000E+00    0.00E+00   32
 33  -0.20   6.31E-01     403.83       0.00   0.000E+00    0.00E+00   33
 34  -0.10   7.94E-01     419.99       0.00   0.000E+00    0.00E+00   34
 35   0.05   1.12E+00     447.13       0.00   0.000E+00    0.00E+00   35
 36   0.20   1.58E+00     478.70       0.00   0.000E+00    0.00E+00   36
 37   0.35   2.24E+00     515.40       0.01   1.287E+04    0.00E+00   37
 38   0.50   3.16E+00     554.12      -0.00   6.712E+04    5.70E+01   38
 39   0.65   4.47E+00     585.91      -0.00   2.519E+05    4.64E+01   39
 40   0.80   6.31E+00     616.01      -0.00   4.153E+05    3.11E+01   40
 41   0.95   8.91E+00     643.80      -0.00   5.860E+05    1.42E+01   41
 42   1.10   1.26E+01     671.17       0.00   7.268E+05   -1.85E+01   42
 43   1.25   1.78E+01     700.29       0.00   8.371E+05   -6.09E+01   43
 44   1.40   2.51E+01     732.15       0.01   9.328E+05   -5.09E+01   44
 45   1.55   3.55E+01     765.05       0.01   1.024E+06   -5.18E+01   45
 46   1.70   5.01E+01     798.86       0.01   1.096E+06   -2.25E+01   46
 47   1.85   7.08E+01     836.00       0.01   1.140E+06   -2.58E+01   47
 48   2.00   1.00E+02     878.24       0.01   1.172E+06   -1.92E+01   48
 49   2.10   1.26E+02     908.86       0.01   1.192E+06   -1.75E+01   49
 50   2.20   1.58E+02     941.25       0.02   1.209E+06   -1.46E+01   50
 51   2.30   2.00E+02     976.35       0.02   1.219E+06   -1.48E+01   51
 52   2.40   2.51E+02    1014.91       0.01   1.225E+06    7.84E+01   52
 53   2.50   3.16E+02    1057.64      -0.18   1.229E+06    1.06E+03   53
    K    TAUROSS   TAU(5000)  GEOM. DEPTH     T        PE          PG         PRAD        PTURB     KAPPAROSS     K
    1  1.0000E-05  4.1021E-08   0.0000E+00   173.12  8.8628-105  8.1697E-01  3.4067E-05  7.8793E-65  1.0909E-02   1
    2  1.4125E-05  5.8192E-08   2.4669E+06   174.80  1.0894-103  1.1632E+00  3.4068E-05  3.8629E-64  1.0598E-02   2
    3  1.9953E-05  8.3201E-08   5.0120E+06   176.70  1.7736-102  1.6615E+00  3.4069E-05  2.1991E-63  1.0262E-02   3
    4  2.8184E-05  1.1971E-07   7.6349E+06   178.76  3.4667-101  2.3890E+00  3.4070E-05  1.3851E-62  9.9208E-03   4
    5  3.9811E-05  1.7310E-07   1.0328E+07   180.97  7.8257-100  3.4526E+00  3.4072E-05  9.4500E-62  9.5789E-03   5
    6  5.6234E-05  2.5124E-07   1.3085E+07   183.35  2.0688E-98  5.0096E+00  3.4074E-05  7.0290E-61  9.2379E-03   6
    7  7.9433E-05  3.6581E-07   1.5904E+07   185.95  6.7556E-97  7.2924E+00  3.4078E-05  5.8598E-60  8.8909E-03   7
    8  1.1220E-04  5.3417E-07   1.8788E+07   188.80  2.8267E-95  1.0647E+01  3.4083E-05  5.5818E-59  8.5369E-03   8
    9  1.5849E-04  7.8212E-07   2.1739E+07   191.93  1.5097E-93  1.5588E+01  3.4090E-05  6.0642E-58  8.1789E-03   9
   10  2.2387E-04  1.1480E-06   2.4761E+07   195.34  1.0063E-91  2.2879E+01  3.4099E-05  7.4271E-57  7.8221E-03  10
   11  3.1623E-04  1.6889E-06   2.7856E+07   199.03  8.0817E-90  3.3659E+01  3.4112E-05  1.0066E-55  7.4682E-03  11
   12  4.4668E-04  2.4896E-06   3.1027E+07   202.98  7.4153E-88  4.9617E+01  3.4130E-05  1.4679E-54  7.1227E-03  12
   13  6.3096E-04  3.6758E-06   3.4277E+07   207.17  7.4486E-86  7.3260E+01  3.4154E-05  2.2512E-53  6.7886E-03  13
   14  8.9125E-04  5.4348E-06   3.7607E+07   211.63  8.1843E-84  1.0832E+02  3.4186E-05  3.6288E-52  6.4638E-03  14
   15  1.2589E-03  8.0459E-06   4.1021E+07   216.40  1.0170E-81  1.6035E+02  3.4230E-05  6.2557E-51  6.1474E-03  15
   16  1.7783E-03  1.1927E-05   4.4525E+07   221.54  1.4703E-79  2.3771E+02  3.4290E-05  1.1708E-49  5.8363E-03  16
   17  2.5119E-03  1.7707E-05   4.8129E+07   227.09  2.4379E-77  3.5291E+02  3.4371E-05  2.3612E-48  5.5318E-03  17
   18  3.5481E-03  2.6327E-05   5.1838E+07   233.01  4.3561E-75  5.2473E+02  3.4479E-05  4.9640E-47  5.2356E-03  18
   19  5.0119E-03  3.9199E-05   5.5658E+07   239.24  7.8045E-73  7.8130E+02  3.4623E-05  1.0470E-45  4.9504E-03  19
   20  7.0795E-03  5.8436E-05   5.9594E+07   245.78  1.3452E-70  1.1648E+03  3.4814E-05  2.1671E-44  4.6768E-03  20
   21  1.0000E-02  8.7213E-05   6.3650E+07   252.62  2.2320E-68  1.7384E+03  3.5068E-05  4.4018E-43  4.4141E-03  21
   22  1.4125E-02  1.3031E-04   6.7832E+07   259.85  3.6731E-66  2.5974E+03  3.5407E-05  8.9139E-42  4.1607E-03  22
   23  1.9953E-02  1.9497E-04   7.2150E+07   267.55  6.2548E-64  3.8861E+03  3.5859E-05  1.8407E-40  3.9128E-03  23
   24  2.8184E-02  2.9225E-04   7.6619E+07   275.85  1.1521E-61  5.8249E+03  3.6467E-05  3.9692E-39  3.6684E-03  24
   25  3.9811E-02  4.3907E-04   8.1255E+07   284.88  2.3873E-59  8.7511E+03  3.7287E-05  9.1289E-38  3.4275E-03  25
   26  5.6234E-02  6.6149E-04   8.6080E+07   294.77  5.7159E-57  1.3184E+04  3.8400E-05  2.2721E-36  3.1896E-03  26
   27  7.9433E-02  9.9992E-04   9.1116E+07   305.68  1.5976E-54  1.9930E+04  3.9913E-05  6.1557E-35  2.9547E-03  27
   28  1.1220E-01  1.5170E-03   9.6391E+07   317.75  5.2189E-52  3.0238E+04  4.1980E-05  1.8169E-33  2.7261E-03  28
   29  1.5849E-01  2.3103E-03   1.0193E+08   331.16  1.9968E-49  4.6052E+04  4.4815E-05  5.8493E-32  2.5055E-03  29
   30  2.2387E-01  3.5315E-03   1.0776E+08   346.16  9.0017E-47  7.0401E+04  4.8727E-05  2.0600E-30  2.2955E-03  30
   31  3.1623E-01  5.4164E-03   1.1392E+08   363.03  4.8052E-44  1.0799E+05  5.4159E-05  7.9582E-29  2.0987E-03  31
   32  4.4668E-01  8.3300E-03   1.2042E+08   382.13  3.0274E-41  1.6610E+05  6.1753E-05  3.3671E-27  1.9169E-03  32
   33  6.3096E-01  1.2831E-02   1.2731E+08   403.83  2.2159E-38  2.5591E+05  7.2438E-05  1.5444E-25  1.7547E-03  33
   34  7.9433E-01  1.7119E-02   1.3208E+08   419.99  1.9444E-36  3.4138E+05  8.1944E-05  2.0616E-24  1.6581E-03  34
   35  1.1220E+00  2.6327E-02   1.3964E+08   447.13  1.7465E-33  5.2518E+05  1.0118E-04  1.0522E-22  1.5321E-03  35
   36  1.5849E+00  4.0328E-02   1.4762E+08   478.70  1.8306E-30  8.1146E+05  1.2921E-04  5.8432E-21  1.4303E-03  36
   37  2.2387E+00  5.7919E-02   1.5502E+08   515.40  2.1444E-27  1.1624E+06  1.7022E-04  3.2451E-19  1.9869E-03  37
   38  3.1623E+00  7.4588E-02   1.6055E+08   554.12  1.4228E-24  1.4826E+06  2.2497E-04  1.2188E-17  3.2968E-03  38
   39  4.4668E+00  9.0271E-02   1.6496E+08   585.91  1.5580E-22  1.7884E+06  2.8283E-04  1.6877E-16  4.2742E-03  39
   40  6.3096E+00  1.0702E-01   1.6911E+08   616.01  8.5310E-21  2.1170E+06  3.4797E-04  1.5966E-15  5.8076E-03  40
   41  8.9125E+00  1.2443E-01   1.7297E+08   643.80  2.4513E-19  2.4564E+06  4.1852E-04  1.0606E-14  7.8907E-03  41
